Measured-signal minus predicted-signal weighting, by FA bin
(FSL dtifit --wls minus DIPY WLS; MD in um^2/ms)
========================================================================

stanford, unprocessed  (n = 64,574)
  FA bin              n   FA diff   MD diff
  0.2-0.3        18,942   -0.0107   -0.0285
  0.3-0.4        15,655   -0.0140   -0.0306
  0.4-0.5        13,645   -0.0168   -0.0295
  0.5-0.6         8,713   -0.0207   -0.0354
  0.6-0.7         4,916   -0.0207   -0.0379
  0.7-1.0         2,703   -0.0242   -0.0526
  all            64,574   -0.0155   -0.0319

stanford, denoised  (n = 65,322)
  FA bin              n   FA diff   MD diff
  0.2-0.3        19,714   -0.0072   -0.0155
  0.3-0.4        15,553   -0.0104   -0.0165
  0.4-0.5        13,614   -0.0123   -0.0177
  0.5-0.6         8,675   -0.0142   -0.0193
  0.6-0.7         4,925   -0.0159   -0.0210
  0.7-1.0         2,841   -0.0154   -0.0300
  all            65,322   -0.0109   -0.0177

sherbrooke, unprocessed  (n = 104,858)
  FA bin              n   FA diff   MD diff
  0.2-0.3        24,449   +0.0008   -0.1136
  0.3-0.4        22,584   +0.0095   -0.1234
  0.4-0.5        17,360   +0.0192   -0.1240
  0.5-0.6        14,696   +0.0294   -0.1264
  0.6-0.7        11,617   +0.0361   -0.1258
  0.7-1.0        14,152   +0.0410   -0.1239
  all           104,858   +0.0191   -0.1220

sherbrooke, denoised  (n = 101,283)
  FA bin              n   FA diff   MD diff
  0.2-0.3        25,957   -0.0004   -0.0496
  0.3-0.4        21,147   +0.0030   -0.0505
  0.4-0.5        16,163   +0.0053   -0.0478
  0.5-0.6        13,506   +0.0075   -0.0458
  0.6-0.7        10,905   +0.0108   -0.0448
  0.7-1.0        13,605   +0.0230   -0.0501
  all           101,283   +0.0066   -0.0485
